source,target,relationship
audit_publication,lineage.lineage_graph,job_to_output
audit_publication,metadata.audit_manifest,job_to_output
bronze.crm_support,silver_standardization,input_to_job
bronze.customer_behavior,silver_standardization,input_to_job
bronze.ecommerce_transactions,silver_standardization,input_to_job
bronze.marketing_campaigns,silver_standardization,input_to_job
bronze.operational_logs,silver_standardization,input_to_job
bronze.product_catalog,silver_standardization,input_to_job
bronze.targets_planning,silver_standardization,input_to_job
bronze_ingestion,bronze.crm_support,job_to_output
bronze_ingestion,bronze.customer_behavior,job_to_output
bronze_ingestion,bronze.ecommerce_transactions,job_to_output
bronze_ingestion,bronze.marketing_campaigns,job_to_output
bronze_ingestion,bronze.operational_logs,job_to_output
bronze_ingestion,bronze.product_catalog,job_to_output
bronze_ingestion,bronze.targets_planning,job_to_output
crm_support,bronze_ingestion,input_to_job
crm_support,lakehouse_platform_pipeline,input_to_job
customer_behavior,bronze_ingestion,input_to_job
customer_behavior,lakehouse_platform_pipeline,input_to_job
ecommerce_transactions,bronze_ingestion,input_to_job
ecommerce_transactions,lakehouse_platform_pipeline,input_to_job
gold_customer_analytics,observability_scoring,input_to_job
gold_data_quality_summary,observability_scoring,input_to_job
gold_layer,audit_publication,input_to_job
gold_marketing_attribution,observability_scoring,input_to_job
gold_mart_publication,gold_customer_analytics,job_to_output
gold_mart_publication,gold_data_quality_summary,job_to_output
gold_mart_publication,gold_marketing_attribution,job_to_output
gold_mart_publication,gold_operational_metrics,job_to_output
gold_mart_publication,gold_product_performance,job_to_output
gold_mart_publication,gold_revenue_analytics,job_to_output
gold_mart_publication,gold_source_freshness,job_to_output
gold_mart_publication,gold_target_vs_actual,job_to_output
gold_operational_metrics,observability_scoring,input_to_job
gold_product_performance,observability_scoring,input_to_job
gold_revenue_analytics,observability_scoring,input_to_job
gold_source_freshness,observability_scoring,input_to_job
gold_target_vs_actual,observability_scoring,input_to_job
lakehouse_platform_pipeline,gold_layer,job_to_output
lakehouse_platform_pipeline,raw_data/bronze,job_to_output
lakehouse_platform_pipeline,silver_layer,job_to_output
lineage/events.jsonl,audit_publication,input_to_job
marketing_campaigns,bronze_ingestion,input_to_job
marketing_campaigns,lakehouse_platform_pipeline,input_to_job
metadata.data_catalog,audit_publication,input_to_job
observability.reports,audit_publication,input_to_job
observability_scoring,alerts.alert_log,job_to_output
observability_scoring,data_quality.reconciliation_report,job_to_output
observability_scoring,metadata.catalog_validation_report,job_to_output
observability_scoring,metadata.data_catalog,job_to_output
observability_scoring,observability.dataset_readiness,job_to_output
observability_scoring,observability.dataset_trust_scores,job_to_output
observability_scoring,observability.platform_trust_scorecard,job_to_output
observability_scoring,observability.runtime_profile,job_to_output
observability_scoring,observability.slo_report,job_to_output
observability_scoring,observability.storage_cost_report,job_to_output
observability_scoring,operations.backfill_manifest,job_to_output
observability_scoring,operations.data_product_certification_report,job_to_output
observability_scoring,operations.exception_evaluation_report,job_to_output
observability_scoring,operations.release_gate_report,job_to_output
observability_scoring,operations.remediation_plan,job_to_output
observability_scoring,security.access_policy_matrix,job_to_output
observability_scoring,security.pii_scan_report,job_to_output
observability_scoring,semantic_layer.validation_report,job_to_output
operational_logs,bronze_ingestion,input_to_job
operational_logs,lakehouse_platform_pipeline,input_to_job
product_catalog,bronze_ingestion,input_to_job
product_catalog,lakehouse_platform_pipeline,input_to_job
security.reports,audit_publication,input_to_job
silver_crm_support,gold_mart_publication,input_to_job
silver_customer_behavior,gold_mart_publication,input_to_job
silver_ecommerce_transactions,gold_mart_publication,input_to_job
silver_layer,audit_publication,input_to_job
silver_marketing_campaigns,gold_mart_publication,input_to_job
silver_operational_logs,gold_mart_publication,input_to_job
silver_product_catalog,gold_mart_publication,input_to_job
silver_standardization,silver_crm_support,job_to_output
silver_standardization,silver_customer_behavior,job_to_output
silver_standardization,silver_ecommerce_transactions,job_to_output
silver_standardization,silver_marketing_campaigns,job_to_output
silver_standardization,silver_operational_logs,job_to_output
silver_standardization,silver_product_catalog,job_to_output
silver_standardization,silver_targets_planning,job_to_output
silver_targets_planning,gold_mart_publication,input_to_job
targets_planning,bronze_ingestion,input_to_job
targets_planning,lakehouse_platform_pipeline,input_to_job
